Episode Number,Reward 0,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9
223,39.1,43.1,13.4,34.9,25.4,23.6,26.7,14.8,19.5,17.6
224,44.2,37.0,13.4,30.3,24.7,24.9,20.9,21.5,28.3,20.2
225,19.9,44.6,12.8,26.0,27.6,24.7,30.1,10.0,36.8,20.0
226,36.7,48.5,14.5,28.0,19.4,28.2,25.9,14.0,39.6,21.1
227,28.6,51.2,13.3,26.8,21.1,26.3,37.9,11.1,31.9,19.9
228,35.9,49.5,13.0,27.6,46.6,26.8,38.6,16.0,22.1,20.6
229,38.8,44.6,14.4,23.9,28.4,24.7,54.1,14.0,21.5,20.9
230,27.2,33.8,15.6,20.5,21.2,23.4,41.6,11.2,21.6,20.8
231,25.3,40.1,14.7,24.6,19.9,33.4,39.9,14.0,22.0,24.6
232,17.1,44.2,15.5,19.9,17.7,32.5,25.0,9.4,23.4,24.5
233,26.9,44.0,15.9,22.9,22.9,41.4,22.0,9.2,21.6,22.5
234,40.2,36.5,15.5,28.0,112.9,35.9,19.0,9.0,23.0,18.4
235,29.8,38.0,15.0,27.4,55.8,34.8,18.4,9.2,30.5,19.3
236,35.9,40.8,13.6,19.3,29.8,32.5,23.1,9.3,35.7,19.1
237,35.3,43.9,14.7,16.8,18.1,37.3,51.3,9.6,31.2,21.2
238,25.0,39.9,13.1,20.6,17.4,30.2,51.2,9.3,23.5,19.9
239,34.3,37.5,13.8,44.3,17.9,27.0,45.2,9.5,21.8,17.8
240,24.4,38.8,13.9,41.0,17.8,31.5,42.9,9.7,22.3,17.7
241,29.2,52.2,12.3,53.7,62.8,28.1,40.5,9.4,18.4,18.3
242,44.6,35.5,12.0,30.3,90.6,29.0,28.8,9.3,19.2,20.2
243,40.7,49.2,12.9,20.7,43.9,23.6,19.5,9.2,20.3,19.9
244,38.2,36.3,11.7,23.1,19.4,21.1,17.2,9.5,20.8,19.7
245,21.4,40.5,10.6,24.8,19.6,22.6,17.9,10.4,20.8,20.2
246,36.9,34.2,11.3,18.2,22.5,23.2,18.9,21.4,18.6,19.0
247,29.9,42.5,11.1,19.5,60.7,22.2,20.8,21.8,21.9,18.0
248,26.5,43.0,11.2,21.6,56.0,21.9,25.2,22.5,24.4,17.8
249,36.1,45.2,11.3,23.7,54.0,23.9,20.3,30.1,24.9,20.8
250,38.0,49.1,12.5,22.9,24.0,21.4,42.9,25.0,24.7,20.3
251,25.7,34.1,12.8,33.0,20.2,21.4,45.0,35.0,18.7,20.1
252,27.3,41.7,13.6,47.4,18.4,22.3,47.8,31.4,20.1,19.5
253,31.9,37.4,13.1,31.2,18.7,24.2,44.3,35.4,21.0,17.3
254,25.4,39.2,13.5,19.6,20.3,23.5,33.5,37.7,24.5,19.1
255,18.6,43.4,13.6,22.4,36.1,23.9,20.8,39.7,23.2,20.8
256,25.9,37.8,15.7,21.4,28.8,27.7,17.9,37.7,26.1,20.7
257,34.3,38.4,17.3,20.0,25.3,26.0,19.7,35.5,20.9,38.6
258,15.8,34.4,21.4,20.9,19.3,21.5,18.3,26.8,18.2,32.3
259,42.7,42.6,18.6,26.3,17.3,25.9,18.9,22.0,18.8,20.6
260,21.1,32.7,22.9,41.3,18.5,23.8,27.9,31.9,20.4,18.3
261,23.9,39.3,24.1,32.5,39.9,23.5,33.2,20.3,20.9,20.0
262,19.8,39.1,23.0,22.1,18.9,23.7,22.4,33.9,19.4,20.0
263,49.3,34.9,25.8,20.6,19.4,24.6,21.4,22.1,19.9,23.2
264,30.3,42.3,29.1,18.2,19.1,29.6,22.0,28.0,22.7,20.4
265,25.1,35.8,31.4,17.8,18.5,31.6,24.3,12.3,24.4,18.3
266,33.6,36.9,30.9,18.0,16.6,25.2,47.5,25.0,33.6,18.9
267,32.3,30.0,31.3,20.3,17.5,33.3,47.7,29.1,41.6,18.6
268,29.6,37.6,42.3,24.4,18.4,34.0,61.4,22.2,45.8,20.3
269,30.3,32.0,31.9,20.1,23.2,35.0,40.6,22.4,22.8,20.1
270,25.3,35.8,25.4,22.9,31.9,31.8,38.7,15.4,19.3,19.4
271,16.2,30.6,27.4,32.1,26.7,36.6,23.2,12.5,20.0,19.8
272,31.1,45.8,22.8,27.7,20.3,29.2,17.8,23.2,18.6,21.1
273,25.0,36.3,23.0,31.1,18.8,25.7,21.0,20.3,19.4,22.4
274,30.0,33.4,22.1,29.9,17.6,37.2,18.4,21.5,19.7,21.7
275,20.7,33.6,25.3,25.3,19.1,43.4,16.8,22.7,18.1,20.5
276,16.3,39.3,27.2,24.2,17.2,39.1,17.9,25.7,20.3,18.0
277,23.8,48.2,28.3,26.5,40.5,33.0,27.3,32.0,21.5,18.1
278,17.6,37.8,27.4,32.1,66.3,37.5,33.5,47.1,21.2,20.7
279,16.1,44.3,35.4,22.0,62.3,36.1,38.0,49.4,20.5,20.7
280,20.3,43.9,33.5,18.7,29.9,27.4,19.1,55.4,22.3,24.0
281,34.9,40.5,32.2,17.8,27.4,35.8,18.4,38.7,23.7,21.7
282,24.7,43.3,31.1,20.2,33.2,40.3,18.5,55.8,22.9,19.4
283,19.8,37.4,33.7,18.0,32.6,26.5,19.9,37.4,25.1,18.8
284,33.4,36.4,27.2,18.6,18.3,26.7,19.5,47.0,26.4,17.8
285,23.8,32.3,24.8,23.0,18.1,21.7,18.6,31.8,27.0,21.2
286,37.1,41.5,21.3,32.5,17.9,24.1,25.3,36.2,22.2,20.7
287,24.9,35.5,31.9,55.8,19.3,20.8,26.6,34.4,18.9,19.7
288,22.0,29.5,36.5,53.9,20.3,22.0,23.8,23.0,21.4,20.5
289,38.3,41.4,29.1,28.9,33.3,24.1,31.6,18.1,18.5,19.5
290,32.3,33.7,28.3,21.5,41.3,20.1,34.5,18.3,19.0,20.2
291,21.1,32.5,27.7,18.2,59.7,25.5,31.9,27.4,20.7,21.1
292,25.4,34.7,38.7,18.8,22.9,25.9,36.2,43.5,21.4,20.0
293,32.1,30.9,28.7,22.9,18.2,29.1,27.1,44.4,24.8,19.1
294,23.4,35.2,31.6,25.4,17.1,32.9,30.8,42.0,41.5,19.1
295,22.2,39.4,37.5,24.4,18.8,40.6,19.6,59.8,25.1,19.6
296,33.3,41.6,36.4,22.8,20.6,31.9,18.1,57.4,21.2,18.7
297,29.5,37.2,37.0,25.5,72.9,31.2,18.4,48.3,22.5,22.2
298,29.1,34.2,29.8,24.8,34.5,26.2,18.9,66.9,22.8,28.8
299,32.4,40.1,33.3,27.8,17.9,25.7,23.6,70.5,23.1,20.5
300,26.5,42.5,33.0,22.0,16.4,29.8,21.7,61.7,25.6,21.9
301,39.2,36.7,33.2,30.6,18.1,38.0,19.4,61.4,36.9,19.0
302,28.2,28.6,28.5,62.2,19.1,34.1,24.6,47.3,29.7,20.5
303,44.6,43.5,30.6,35.8,18.4,29.5,20.7,44.7,24.1,19.9
304,38.3,25.7,26.1,43.3,16.7,29.2,21.6,44.0,22.9,22.0
305,23.5,40.9,22.5,27.5,18.4,32.2,19.7,68.1,22.2,20.4
306,29.1,43.1,22.4,20.4,17.3,24.6,22.9,66.7,21.7,19.4
307,20.8,39.9,22.0,27.1,16.0,24.8,33.8,60.0,23.0,22.8
308,19.7,34.8,25.8,34.4,17.4,22.5,20.7,67.5,20.8,27.8
309,20.2,41.5,24.3,46.8,17.8,25.8,20.4,67.4,23.1,34.6
310,31.6,35.3,25.6,29.6,19.2,30.0,20.3,74.6,21.7,19.2
311,28.4,32.7,17.6,22.5,20.1,31.2,38.6,72.3,20.3,17.3
312,27.2,28.3,26.6,23.0,19.1,29.5,43.6,59.1,20.8,17.9
313,31.0,37.1,19.1,26.3,18.8,23.5,43.0,57.5,22.2,20.2
314,36.4,38.7,22.3,31.4,16.5,24.6,22.3,60.4,22.0,22.4
