Episode Number,Ideal Algorithm ID,Ideal Reward
955,2,48.1
956,4,50.1
957,4,51.3
958,3,55.5
959,4,54.8
960,7,53.3
961,8,53.7
962,1,64.3
963,4,59.7
964,4,51.1
965,2,56.9
966,8,51.5
967,8,56.0
968,8,54.6
969,4,59.1
970,4,57.3
971,0,82.4
972,7,101.4
973,7,106.6
974,7,104.4
975,1,106.8
976,0,109.2
977,3,110.8
978,1,111.6
979,1,117.8
980,1,117.7
981,0,116.2
982,1,119.4
983,1,121.7
984,0,121.2
985,7,124.1
986,1,120.7
987,1,124.2
988,7,122.9
989,3,127.6
990,1,125.9
991,1,131.5
992,3,123.9
993,1,126.5
994,1,124.5
995,1,126.9
996,7,124.9
997,1,136.6
998,1,142.9
999,1,155.7
1000,1,185.0
1001,1,180.8
1002,1,174.5
1003,1,175.1
1004,1,189.1
1005,1,195.6
1006,1,200.0
1007,1,200.0
1008,0,200.0
1009,0,200.0
1010,0,200.0
1011,0,200.0
1012,0,200.0
1013,0,200.0
1014,0,200.0
1015,1,200.0
1016,1,200.0
1017,1,200.0
1018,1,200.0
1019,1,200.0
1020,1,200.0
1021,1,200.0
1022,1,200.0
1023,1,200.0
1024,1,199.5
1025,1,196.3
1026,1,190.0
1027,1,192.1
1028,1,189.1
1029,1,189.9
1030,1,186.4
1031,1,189.0
1032,1,195.6
1033,1,199.7
1034,1,200.0
1035,1,197.7
1036,1,200.0
1037,1,200.0
1038,1,200.0
1039,1,198.9
1040,1,200.0
1041,3,200.0
1042,1,200.0
1043,1,200.0
1044,0,200.0
1045,0,200.0
1046,0,200.0
1047,1,200.0
1048,0,200.0
1049,0,200.0
1050,1,200.0
1051,0,200.0
1052,0,200.0
1053,0,200.0
1054,0,200.0
1055,0,200.0
1056,0,200.0
1057,0,200.0
1058,0,200.0
1059,0,200.0
1060,0,200.0
1061,0,200.0
1062,0,200.0
1063,1,200.0
1064,0,200.0
1065,0,200.0
1066,0,200.0
1067,0,200.0
1068,0,200.0
1069,0,200.0
1070,5,200.0
1071,0,200.0
1072,0,200.0
1073,5,200.0
1074,2,200.0
1075,2,200.0
1076,5,200.0
1077,2,200.0
1078,2,200.0
1079,2,200.0
1080,2,200.0
1081,2,200.0
1082,4,199.1
1083,2,200.0
1084,6,200.0
1085,2,200.0
1086,2,200.0
1087,2,200.0
1088,4,200.0
1089,4,200.0
1090,2,200.0
1091,4,200.0
1092,2,200.0
1093,4,198.2
1094,2,199.5
1095,6,200.0
1096,6,199.7
1097,4,200.0
1098,4,199.8
1099,2,200.0
1100,4,200.0
1101,2,200.0
1102,2,200.0
1103,2,200.0
1104,6,200.0
1105,2,200.0
1106,4,200.0
1107,2,200.0
1108,2,200.0
1109,2,200.0
1110,4,200.0
1111,4,200.0
1112,4,200.0
1113,4,200.0
1114,4,199.5
1115,4,198.9
1116,4,200.0
1117,4,197.7
1118,4,199.1
1119,4,195.0
1120,4,192.2
1121,4,172.8
1122,4,162.4
1123,4,152.6
1124,4,155.9
1125,4,152.9
1126,4,158.2
1127,4,143.4
1128,2,146.8
1129,4,147.3
1130,4,142.4
1131,4,140.5
1132,4,145.4
1133,4,149.6
1134,2,136.8
1135,4,137.2
1136,4,137.5
1137,4,137.1
1138,4,140.2
1139,4,139.1
1140,4,144.2
1141,6,142.5
1142,2,136.4
1143,4,148.4
1144,4,141.5
1145,4,142.7
1146,4,134.1
1147,2,136.5
1148,6,133.4
1149,4,132.2
1150,4,135.6
1151,6,131.5
1152,4,138.8
1153,4,134.6
1154,2,131.7
1155,6,131.7
1156,6,131.7
1157,4,134.7
1158,4,138.4
1159,2,125.9
1160,2,131.2
1161,4,125.4
1162,4,124.4
1163,6,128.2
1164,6,131.1
1165,4,133.0
1166,4,135.2
1167,2,127.1
1168,4,136.4
1169,4,124.2
1170,2,129.1
1171,4,123.2
1172,4,124.7
1173,4,124.5
1174,4,125.6
1175,4,127.1
1176,6,129.3
1177,2,117.7
1178,4,131.1
1179,6,125.1
1180,4,120.7
1181,4,127.4
1182,6,111.0
1183,6,110.1
1184,4,110.4
1185,4,107.0
1186,4,102.1
1187,6,95.6
1188,4,95.7
1189,6,100.9
1190,2,82.9
1191,4,92.2
1192,6,79.5
1193,4,83.8
1194,6,73.3
1195,6,82.3
1196,5,69.0
1197,6,78.5
1198,4,67.6
1199,4,76.8
1200,6,76.5
1201,4,73.5
